speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,30.0,40.1003152,-75.2402115,True,False,False,S222998713,
killde,Killdeer,Charadrius vociferus,L3041917,Dixon Meadow Preserve,2025-04-04 13:30,1.0,40.1003152,-75.2402115,True,False,False,S223449765,
wilsni1,Wilson's Snipe,Gallinago delicata,L3041917,Dixon Meadow Preserve,2025-04-04 13:30,3.0,40.1003152,-75.2402115,True,False,False,S223449765,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L3041917,Dixon Meadow Preserve,2025-04-04 13:30,1.0,40.1003152,-75.2402115,True,False,False,S223449765,
norfli,Northern Flicker,Colaptes auratus,L3041917,Dixon Meadow Preserve,2025-04-04 13:30,1.0,40.1003152,-75.2402115,True,False,False,S223449765,
treswa,Tree Swallow,Tachycineta bicolor,L3041917,Dixon Meadow Preserve,2025-04-04 13:30,12.0,40.1003152,-75.2402115,True,False,False,S223449765,
turvul,Turkey Vulture,Cathartes aura,L3041917,Dixon Meadow Preserve,2025-04-04 12:28,8.0,40.1003152,-75.2402115,True,False,False,S222906089,
amekes,American Kestrel,Falco sparverius,L3041917,Dixon Meadow Preserve,2025-04-04 12:28,1.0,40.1003152,-75.2402115,True,False,False,S222906089,
amecro,American Crow,Corvus brachyrhynchos,L3041917,Dixon Meadow Preserve,2025-04-04 12:28,3.0,40.1003152,-75.2402115,True,False,False,S222906089,
amegfi,American Goldfinch,Spinus tristis,L3041917,Dixon Meadow Preserve,2025-04-04 12:28,2.0,40.1003152,-75.2402115,True,False,False,S222906089,
chispa,Chipping Sparrow,Spizella passerina,L3041917,Dixon Meadow Preserve,2025-04-04 12:28,1.0,40.1003152,-75.2402115,True,False,False,S222906089,
fiscro,Fish Crow,Corvus ossifragus,L3041917,Dixon Meadow Preserve,2025-04-04 10:57,3.0,40.1003152,-75.2402115,True,False,False,S222905034,
easblu,Eastern Bluebird,Sialia sialis,L3041917,Dixon Meadow Preserve,2025-04-04 10:57,1.0,40.1003152,-75.2402115,True,False,False,S222905034,
savspa,Savannah Sparrow,Passerculus sandwichensis,L3041917,Dixon Meadow Preserve,2025-04-04 10:57,3.0,40.1003152,-75.2402115,True,False,False,S222905034,
norcar,Northern Cardinal,Cardinalis cardinalis,L3041917,Dixon Meadow Preserve,2025-04-04 10:57,2.0,40.1003152,-75.2402115,True,False,False,S222905034,
amekes,American Kestrel,Falco sparverius,L3041917,Dixon Meadow Preserve,2025-04-05 17:42,2.0,40.1003152,-75.2402115,True,False,False,S223240290,
blujay,Blue Jay,Cyanocitta cristata,L3041917,Dixon Meadow Preserve,2025-04-05 17:42,1.0,40.1003152,-75.2402115,True,False,False,S223240290,
normoc,Northern Mockingbird,Mimus polyglottos,L3041917,Dixon Meadow Preserve,2025-04-05 17:42,2.0,40.1003152,-75.2402115,True,False,False,S223240290,
amerob,American Robin,Turdus migratorius,L3041917,Dixon Meadow Preserve,2025-04-05 17:42,6.0,40.1003152,-75.2402115,True,False,False,S223240290,
houfin,House Finch,Haemorhous mexicanus,L3041917,Dixon Meadow Preserve,2025-04-05 17:42,2.0,40.1003152,-75.2402115,True,False,False,S223240290,N
savspa,Savannah Sparrow,Passerculus sandwichensis,L3041917,Dixon Meadow Preserve,2025-04-05 17:42,1.0,40.1003152,-75.2402115,True,False,False,S223240290,
sonspa,Song Sparrow,Melospiza melodia,L3041917,Dixon Meadow Preserve,2025-04-05 17:42,2.0,40.1003152,-75.2402115,True,False,False,S223240290,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L3041917,Dixon Meadow Preserve,2025-04-05 17:42,12.0,40.1003152,-75.2402115,True,False,False,S223240290,
cangoo,Canada Goose,Branta canadensis,L3041917,Dixon Meadow Preserve,2025-04-05 10:39,5.0,40.1003152,-75.2402115,True,False,False,S223139098,
mallar3,Mallard,Anas platyrhynchos,L3041917,Dixon Meadow Preserve,2025-04-05 10:39,2.0,40.1003152,-75.2402115,True,False,False,S223139098,
moudov,Mourning Dove,Zenaida macroura,L3041917,Dixon Meadow Preserve,2025-04-05 10:39,1.0,40.1003152,-75.2402115,True,False,False,S223139098,
