species_code,common_name,scientific_name,location_id,location_name,observation_datetime,bird_count,latitude,longitude
fiscro,Fish Crow,Corvus ossifragus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1,39.9027901,-75.1819754
tuftit,Tufted Titmouse,Baeolophus bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1,39.9027901,-75.1819754
eursta,European Starling,Sturnus vulgaris,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,6,39.9027901,-75.1819754
normoc,Northern Mockingbird,Mimus polyglottos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1,39.9027901,-75.1819754
sonspa,Song Sparrow,Melospiza melodia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,2,39.9027901,-75.1819754
orcori,Orchard Oriole,Icterus spurius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,2,39.9027901,-75.1819754
turvul,Turkey Vulture,Cathartes aura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:19:00,1,39.9027901,-75.1819754
eawpew,Eastern Wood-Pewee,Contopus virens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:19:00,1,39.9027901,-75.1819754
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 16:14:00,1,39.9027901,-75.1819754
houspa,House Sparrow,Passer domesticus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 16:14:00,1,39.9027901,-75.1819754
chispa,Chipping Sparrow,Spizella passerina,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 16:14:00,1,39.9027901,-75.1819754
doccor,Double-crested Cormorant,Nannopterum auritum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 15:14:00,1,39.9027901,-75.1819754
grbher3,Great Blue Heron,Ardea herodias,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 15:14:00,1,39.9027901,-75.1819754
barswa,Barn Swallow,Hirundo rustica,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 14:18:00,3,39.9027901,-75.1819754
houfin,House Finch,Haemorhous mexicanus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 13:41:00,1,39.9027901,-75.1819754
amekes,American Kestrel,Falco sparverius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 10:45:00,1,39.9027901,-75.1819754
mallar3,Mallard,Anas platyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 14:30:00,2,39.9027901,-75.1819754
bnhcow,Brown-headed Cowbird,Molothrus ater,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 14:30:00,1,39.9027901,-75.1819754
eawvir1,Eastern Warbling Vireo,Vireo gilvus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,1,39.9027901,-75.1819754
treswa,Tree Swallow,Tachycineta bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,5,39.9027901,-75.1819754
grycat,Gray Catbird,Dumetella carolinensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,4,39.9027901,-75.1819754
houfin,House Finch,Haemorhous mexicanus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,4,39.9027901,-75.1819754
orcori,Orchard Oriole,Icterus spurius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,1,39.9027901,-75.1819754
